feature,importance
mom3m_XLK,0.01034237841466835
mom12m_XLP,0.009990590421929402
vol3m_XLI,0.009043155050289771
vol3m_XLV,0.008766511065012285
mom3m_XLV,0.008754835836056837
ma_ratio_XLB,0.008719514717817409
vol3m_XLB,0.008440324227314795
mom6m_XLP,0.00749310879815166
ma_ratio_XLE,0.007167174635985209
mom12m_XLV,0.006822534415354742
vol1m_XLK,0.006792921524045252
mom6m_XLV,0.006735679013121123
mom1m_XLY,0.006447762839008697
vol3m_XLU,0.006321500800079885
mom1m_XLP,0.006304554945161598
mom1m_XLE,0.006251678848492095
mom3m_XLF,0.006128565966080854
mom3m_XLY,0.005893360607317451
vol1m_XLU,0.00583390470484304
vol1m_XLP,0.005774277012019287
