,ML Signal Blend,Equal-Weight Sectors,6M Momentum Top 3,SPY Buy & Hold
2015-01-31,-0.03221079003688453,-0.02304304527265751,-0.022876447172355905,-0.029629195355993287
2015-02-28,0.027278948191605326,0.047012741858874586,0.006256036008216056,0.05620466931411583
2015-03-31,-0.007506034064728493,-0.017153302514742785,-0.006483194689986097,-0.01570545538543544
2015-04-30,-0.005472038105107612,0.011271306707640847,-0.006339901421516821,0.009833743839081421
2015-05-31,0.021056274954793612,0.007372417799194942,0.025047120236774887,0.012856091063714326
2015-06-30,-0.012688697409350186,-0.02479720862399806,-0.013156648026972457,-0.02031230465972267
2015-07-31,0.04146909324314611,0.014956720426524704,0.035125746730695295,0.02258924507214566
2015-08-31,-0.06894220219476195,-0.05756636642178873,-0.07239046560505348,-0.0609500758371353
2015-09-30,-0.013071260315144759,-0.02665182040253718,-0.030344412451806226,-0.02551600842114443
2015-10-31,0.054831627712478515,0.08183718082004746,0.05159595474835757,0.08505985221222057
2015-11-30,0.007539686556232226,0.0010485936024199581,-0.002022301742260834,0.003655197597356663
2015-12-31,-0.011165550868391806,-0.019953690764594866,-0.0066884436245151484,-0.01728248889142603
2016-01-31,-0.01804910044557603,-0.04432515731675024,0.005356292721657843,-0.049786455663438756
2016-02-29,0.011563264827748599,0.008952977264012674,0.005326762085728206,-0.0008263181251161322
2016-03-31,0.0699459319587454,0.06979213396598938,0.07178810397731153,0.06726599014891721
2016-04-30,0.0077662976978723946,0.01470335541825064,0.003665941128426014,0.003941419987828487
2016-05-31,0.004553442842033081,0.010620688130530347,0.0061874365024024245,0.017011475963220057
2016-06-30,0.02937831221612064,0.011994445891440261,0.040673359134296996,0.003475892782175194
2016-07-31,0.021225591611351468,0.028819143660180395,-0.009677508959444065,0.03647139922560361
2016-08-31,-0.01406844078604436,-0.0036724038913551593,0.006792311225191854,0.0011973508181115644
2016-09-30,0.00462385029472734,5.820271943045416e-05,-0.0014493105692263554,5.811097255992159e-05
2016-10-31,-0.030881795204822152,-0.01585961764108771,-0.01941987319832611,-0.017337021754760595
2016-11-30,0.026815119588107766,0.039799578451369756,0.0281976065292437,0.03683821780987406
2016-12-31,0.0202975784003489,0.01875608172110649,0.01824450112066603,0.020272113628703847
2017-01-31,0.007602842874258783,0.018307469064762105,0.018396907979994617,0.01789468299497532
2017-02-28,0.028933287842821103,0.03376500630828956,0.02314845102852945,0.03929138702838797
2017-03-31,-0.010328942214367141,-0.00140483032862631,-0.00551868943477746,0.001249769526565192
2017-04-30,0.009678235662757235,0.008039376626479602,0.010439102034114505,0.009926333840146295
2017-05-31,0.020852321046548414,0.010751386962258795,0.005093477511573978,0.014113026311607602
2017-06-30,-0.008568050920691454,0.00570748044150245,-0.02751386405457178,0.006374667327856631
2017-07-31,0.013379448773680736,0.018314729471320526,0.02296509426748656,0.020554191750528084
2017-08-31,0.007916377475234567,-0.001142023445453395,0.026007496030533737,0.0029178973001484643
2017-09-30,0.023569341828405033,0.024753495096181546,-0.0034249858211345954,0.020149484374146542
2017-10-31,0.02825042440253168,0.018642439220755355,0.021140759426950387,0.023563917912820864
2017-11-30,0.022946086842607353,0.03108436165471002,0.018338683138765403,0.03056594509431143
2017-12-31,0.010404873222118957,0.011157224351990501,0.015203005833668662,0.012128047118250773
2018-01-31,0.06732665567958727,0.045399189967696395,0.05863858246372573,0.056359166139051675
2018-02-28,-0.0267384275593846,-0.04752985542582435,-0.02321167930602325,-0.03636064644647785
2018-03-31,-0.0319082574872905,-0.017124922015554503,-0.03424609384176813,-0.027410258246262753
2018-04-30,-0.00047549158356787103,0.008654134630827303,0.006683984809580139,0.005168124479083103
2018-05-31,0.031944337065289354,0.014907741748369445,0.038678018362182,0.024309015374652798
2018-06-30,0.003359781839158386,0.008996618463689389,0.013083639968419545,0.005751093469974711
2018-07-31,0.02846688798014963,0.036569140265640655,0.018144888984685137,0.03704633775171495
2018-08-31,0.04041459743899722,0.016734855097958433,0.014173188128345423,0.03191992415977407
2018-09-30,0.007522307422014658,0.00490750785172637,0.009323923760944944,0.0059451507088954525
2018-10-31,-0.06989000380139475,-0.06333226619394744,-0.08348079400246605,-0.06910415632896749
2018-11-30,0.033733270256331875,0.02564360034434787,0.027444403746241627,0.018549277341203485
2018-12-31,-0.07320612724935108,-0.0885670323640521,-0.07474226504678773,-0.08804805419270134
2019-01-31,0.052374619075578596,0.07485705908617388,0.04475157343664963,0.08006525046943969
2019-02-28,0.022478959609759736,0.03254276349173714,0.023230113036146673,0.03241585167984651
2019-03-31,0.007429624012197834,0.01688045427688119,0.017683306484135755,0.01810056987311537
2019-04-30,0.01596144781239416,0.03261019984878776,0.033282350014643095,0.040852666871582066
2019-05-31,-0.07866316595929726,-0.06334057934444645,-0.08076237004531198,-0.06377144546597213
2019-06-30,0.07290395983433652,0.07476352368437567,0.06593505486424346,0.06958616521036953
2019-07-31,0.00547924071113125,0.0070832573215864215,0.01710011968476793,0.015119892403648416
2019-08-31,-0.028256144688607068,-0.015913326345102674,-0.0015629998319435447,-0.016743841363945133
2019-09-30,0.02185361624414095,0.026010188789231975,0.024719082662648825,0.019458338957935917
2019-10-31,0.008215913844663478,0.010545630517863872,0.003866049835348936,0.022104528510376253
2019-11-30,0.0163727853259908,0.028367756572726534,0.014494754442294694,0.036198289560428476
2019-12-31,0.03199124424260255,0.030621273568218595,0.031041049962579028,0.029055670425376157
2020-01-31,0.020791345388114002,-0.01329119843365868,-0.005006190063394887,-0.00040411699243991794
2020-02-29,-0.08415322411313708,-0.09387693063498684,-0.07968503736615623,-0.07916577705956451
2020-03-31,-0.11917800124657606,-0.14548428221337156,-0.07486960846810631,-0.12487127590600566
2020-04-30,0.09099690964430716,0.13303083896797724,0.1104062273918797,0.1269834666195424
2020-05-31,0.05927792724533042,0.044304207007494205,0.05604926305987754,0.04764546469431363
2020-06-30,0.025168274867879325,0.005799375277830501,0.025267821396422103,0.017734200914228282
2020-07-31,0.06276385239061436,0.04855604759279243,0.06138394079985028,0.058892288846601026
2020-08-31,0.06865972428999939,0.04675944028001003,0.08007517754528673,0.0697966993159671
2020-09-30,-0.02363112905295804,-0.03019531103776148,-0.019502959245026527,-0.03744367254176095
2020-10-31,-0.037033476301814146,-0.018129381163686675,-0.028184491560053867,-0.024933631722291794
2020-11-30,0.0791917518112762,0.12307184632356087,0.11246788608431726,0.10877699553472864
2020-12-31,0.02848078560216028,0.03145921300928616,0.019187472067675546,0.03704827844066361
2021-01-31,-0.011848812752209502,-0.01029743742832873,-0.028813358342860196,-0.01019039644371178
2021-02-28,0.015041413943214428,0.04052374062276737,0.05934867418733433,0.027805565577667446
2021-03-31,0.04092271852189442,0.060860940427895055,0.05364600925925902,0.04539921408774528
2021-04-30,0.03132004649184228,0.04188659299376142,0.03512627199763857,0.052910318996179706
2021-05-31,0.031338879504323305,0.017404532638796932,0.04536796538897218,0.006566253980292203
2021-06-30,-0.017724650254378544,0.00393480376219641,-0.014095642464403854,0.022427385729113514
