,Start,End,Months,Total Return,CAGR,Annualized Volatility,Sharpe Ratio,Max Drawdown,Win Rate,Best Month,Worst Month,Average Monthly Turnover
ML Signal Blend,2015-01-31,2026-04-30,136,2.0795101661082795,0.10433623266659597,0.14122730635986205,0.7387822890336537,-0.1933021736493168,0.6397058823529411,0.1123587549665503,-0.11917822360802886,0.7690723320003784
Equal-Weight Sectors,2015-01-31,2026-04-30,136,2.5551914158735367,0.1184216304891037,0.14554420656884953,0.8136471610986761,-0.23599494532247578,0.6764705882352942,0.13303085900279388,-0.14548433853218778,
6M Momentum Top 3,2015-01-31,2026-04-30,136,1.9495105931332293,0.10014144497471622,0.14219771949923182,0.7042408649546394,-0.15285102020751917,0.6102941176470589,0.11970123217749343,-0.09710860119239637,0.5980392156862745
SPY Buy & Hold,2015-01-31,2026-04-30,136,3.2220443891920976,0.13551581636620247,0.15059934427974697,0.8998433360670816,-0.23927178782308056,0.6911764705882353,0.12698419956291107,-0.12487154362602204,
