date,gross_return,transaction_cost,turnover,return
2015-01-31,-0.031410343362230635,0.0008,1.0,-0.03221034336223064
2015-02-28,0.02771819227279067,0.00043890640691235784,0.5486330086404473,0.027279285865878314
2015-03-31,-0.006694507776833303,0.0008115671777961933,1.0144589722452415,-0.007506074954629497
2015-04-30,-0.005030448145934231,0.00044128658778696297,0.5516082347337037,-0.005471734733721194
2015-05-31,0.02141784322720531,0.00036140364725093747,0.45175455906367185,0.021056439579954372
2015-06-30,-0.012325744994042327,0.0003629896373313429,0.45373704666417863,-0.01268873463137367
2015-07-31,0.04181110518198391,0.00034164222334841156,0.42705277918551443,0.041469462958635496
2015-08-31,-0.06880803175994799,0.00013430140532848047,0.1678767566606006,-0.06894233316527647
2015-09-30,-0.012678438069190279,0.0003929713389649859,0.4912141737062324,-0.013071409408155264
2015-10-31,0.055330530684377634,0.00049891830268554,0.623647878356925,0.054831612381692096
2015-11-30,0.008391643335225591,0.0008517238879847678,1.0646548599809598,0.007539919447240823
2015-12-31,-0.010696890800935922,0.00046887856362516704,0.5860982045314588,-0.011165769364561089
2016-01-31,-0.017252546314767293,0.0007963884454511324,0.9954855568139156,-0.018048934760218426
2016-02-29,0.012022006003921604,0.00045891008075882273,0.5736376009485284,0.011563095923162781
2016-03-31,0.07010796324688622,0.00016224407563978824,0.2028050945497353,0.06994571917124642
2016-04-30,0.00830792608751092,0.0005415304712296971,0.6769130890371213,0.007766395616281224
2016-05-31,0.005097315682239501,0.0005437088065248672,0.679636008156084,0.004553606875714634
2016-06-30,0.029889376641810496,0.0005110251915569168,0.6387814894461461,0.029378351450253578
2016-07-31,0.021624564384930316,0.0003987818499980187,0.49847731249752336,0.0212257825349323
2016-08-31,-0.013161919987812385,0.0009064715675711771,1.1330894594639713,-0.014068391555383562
2016-09-30,0.0057309806152132945,0.0011072418406218433,1.3840523007773042,0.004623738774591451
2016-10-31,-0.029841860420709576,0.0010400000000000001,1.3,-0.030881860420709575
2016-11-30,0.02781007953948704,0.0009944435045116957,1.2430543806396197,0.026815636034975346
2016-12-31,0.02117520143549813,0.0008777417630876016,1.097177203859502,0.020297459672410527
2017-01-31,0.007948432830102888,0.0003455616586111004,0.4319520732638755,0.007602871171491787
2017-02-28,0.029363188292968936,0.0004298495452040367,0.5373119315050459,0.028933338747764898
2017-03-31,-0.009951075558036421,0.00037770283860715095,0.4721285482589387,-0.010328778396643572
2017-04-30,0.010193754746575872,0.0005155445533308259,0.6444306916635324,0.009678210193245046
2017-05-31,0.02208357531290336,0.0012310389154273223,1.5387986442841528,0.02085253639747604
2017-06-30,-0.007799310726018357,0.0007684861293291636,0.9606076616614544,-0.008567796855347521
2017-07-31,0.014607070406777271,0.0012275943243180492,1.5344929053975616,0.013379476082459221
