Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,SPY
2010-01-04,12.016515731811523,17.268272399902344,8.942389488220215,20.92279052734375,9.3787841796875,17.250778198242188,8.886093139648438,23.984844207763672,12.308621406555176,84.79638671875
2010-01-05,12.055362701416016,17.409210205078125,9.106749534606934,20.996671676635742,9.366687774658203,17.25724220275879,8.780309677124023,23.749629974365234,12.353747367858887,85.02086639404297
2010-01-06,12.260234832763672,17.61768341064453,9.125009536743164,21.04099464416504,9.261898040771484,17.244304656982422,8.831770896911621,23.992435455322266,12.370159149169922,85.08070373535156
2010-01-07,12.164862632751465,17.59126091003418,9.319808959960938,21.270021438598633,9.225625038146973,17.244304656982422,8.791747093200684,24.075910568237305,12.472731590270996,85.43983459472656
2010-01-08,12.33441162109375,17.705774307250977,9.265021324157715,21.60987091064453,9.286084175109863,17.18609046936035,8.783164024353027,24.11383628845215,12.4686279296875,85.72418212890625
2010-01-11,12.267298698425293,17.682279586791992,9.271106719970703,21.84628677368164,9.249811172485352,17.23137092590332,8.874659538269043,24.250415802001953,12.444016456604004,85.84390258789062
2010-01-12,12.034177780151367,17.426828384399414,9.137187004089355,21.66898536682129,9.149051666259766,17.328397750854492,8.83749008178711,24.075910568237305,12.283998489379883,85.04328918457031
2010-01-13,12.175464630126953,17.49142074584961,9.240673065185547,21.75763702392578,9.237719535827637,17.451290130615234,8.934700012207031,24.39458656311035,12.423501014709473,85.76156616210938
2010-01-14,12.027111053466797,17.54134178161621,9.283284187316895,21.75763702392578,9.261898040771484,17.399538040161133,8.894671440124512,24.614627838134766,12.423501014709473,85.99354553222656
2010-01-15,11.938801765441895,17.40039825439453,9.094573020935059,21.476890563964844,9.132925033569336,17.31545639038086,8.83749008178711,24.44770622253418,12.300410270690918,85.02835845947266
2010-01-19,12.129546165466309,17.5589542388916,9.210235595703125,21.713308334350586,9.290117263793945,17.4189510345459,8.940415382385254,25.03954315185547,12.46452522277832,86.0908203125
2010-01-20,11.914081573486328,17.2858829498291,9.185885429382324,21.380844116210938,9.140985488891602,17.289583206176758,8.84606647491455,24.82708740234375,12.296307563781738,85.21537017822266
2010-01-21,11.398381233215332,16.933528900146484,8.924128532409668,20.885848999023438,9.044259071350098,17.04379653930664,8.71741008758545,24.288360595703125,12.140400886535645,83.57676696777344
