,ML Signal Blend,Equal-Weight Sectors,6M Momentum Top 3,SPY Buy & Hold
2018-12-31,13182.00855383034,12620.546711776937,12038.29171347605,13168.516044686285
2019-01-31,13872.411195189638,13565.282865201101,12577.023400873475,14222.861421163543
2019-02-28,14184.246154898417,14006.734452153385,12869.18877112021,14683.908483891319
2019-03-31,14289.63020986632,14243.175670273846,13096.75960305304,14949.691993443117
2019-04-30,14517.71287427954,14707.647354460041,13532.650774637357,15560.424200840474
2019-05-31,13375.70432632702,13776.057283279413,12439.722843109334,14568.119389541216
2019-06-30,14350.847856671644,14806.002893840952,13259.936553221587,15581.861579115628
2019-07-31,14429.478699232932,14910.878727616211,13486.682723777165,15817.455802551664
2019-08-31,14021.759523798584,14673.596521950829,13465.600738856578,15552.61624045005
2019-09-30,14328.18611826845,15055.25995000893,13798.458487649199,15855.23521503088
2019-10-31,14445.902772722176,15214.027074821019,13851.80604014529,16205.704167765558
2019-11-30,14682.422323884628,15645.614274709726,14052.581740405498,16792.326720203047
2019-12-31,15152.132823076598,16124.703187288438,14488.788153199252,17280.23549740832
2020-01-31,15467.167638193074,15910.387132660415,14416.257167253767,17273.255844182164
2020-02-29,14165.556812925446,14416.768001199287,13267.494661709467,15905.80318812201
2020-03-31,12477.33808599945,12319.35490557916,12274.163184368077,13919.62838770011
2020-04-30,13612.738940737396,13958.209980678192,13629.309006849951,15687.19284729871
2020-05-31,14419.671518619925,14576.616933965237,14393.219343304918,16434.61097621737
2020-06-30,14782.591999428925,14661.151866168662,14756.905267146962,16726.069318552418
2020-07-31,15710.407067075983,15373.041441205913,15662.746310882065,17711.107617001533
2020-08-31,16789.07661351194,16091.87493471584,16916.93840025204,18947.28255188888
2020-09-30,16392.33123221913,15605.975253229542,16587.011154907457,18237.826708459732
2020-10-31,15785.265878794746,15323.049139254299,16119.514947266869,17783.093246768665
2020-11-30,17035.329561978826,17208.883116076475,17932.439836339207,19717.482713570134
2020-12-31,17520.512190145728,17750.264208012817,18276.522278765853,20447.983296164108
2021-01-31,17312.911380210506,17567.481271711957,17749.908678301865,20239.610258171877
2021-02-28,17573.322699927274,18279.380768214676,18803.342801754286,20802.378640002116
2021-03-31,18292.47123934461,19391.879518030604,19812.068907073528,21746.797615694526
2021-04-30,18865.39578545934,20204.139643159397,20507.992699599872,22897.429217836005
2021-05-31,19456.61233945498,20555.783766704066,21438.39797585847,23047.774139640765
2021-06-30,19111.75289132745,20636.666846306252,21136.214541275534,23564.675460467974
2021-07-31,18889.66032609158,20880.466386382403,20572.430627647802,24139.947336158795
2021-08-31,19304.418443320606,21315.533457815676,20864.28867989636,24858.35140698372
2021-09-30,18114.12577400791,20607.123589211835,19923.943313594278,23699.813236456073
2021-10-31,19540.40747598345,22109.881535538247,21290.261018662808,25362.67931191701
2021-11-30,19450.019966824268,21744.890422942062,21343.874560582644,25158.892442163295
2021-12-31,20065.47703344581,22998.59115888651,21797.82513593576,26322.43631312953
2022-01-31,18720.37520685352,22468.165489298048,20359.702306195682,24934.157648367847
2022-02-28,18763.33130891366,22227.259957213635,20617.474894864557,24198.17266833776
2022-03-31,20016.662202767166,23323.813163424995,21372.75943129074,25107.79198589513
2022-04-30,19448.969371143678,21959.64351320648,20671.399207515995,22904.105875584337
2022-05-31,20389.631025567007,22336.32366720824,21780.753382858536,22955.80694419022
2022-06-30,18317.67474561392,20373.26951662027,20015.34039622221,21062.85972869177
2022-07-31,19569.500809610705,22100.223217159448,21236.964359486185,23002.486176503673
2022-08-31,19521.587854506975,21525.022236456247,21042.251107713666,22063.942444485063
2022-09-30,17576.315409692575,19633.82087513074,18998.86730319511,20024.21991662785
2022-10-31,19551.150754433795,21575.9649404656,21273.056919030925,21651.70006459722
2022-11-30,20393.80228246821,22852.93292537197,22229.798281036274,22855.352289614933
2022-12-31,19897.66610006502,21799.591843815626,21643.191787606364,21538.238118946723
2023-01-31,20317.917488660696,22813.481696149844,22599.773744847313,22892.721134257317
2023-02-28,19805.374300060314,22103.08863984834,21640.9659128865,22317.137298725414
2023-03-31,19507.22545121834,22479.299695378773,20913.13167138061,23144.607191463223
2023-04-30,19503.710333984356,22781.719125419517,20802.866531997228,23514.336975076047
2023-05-31,19398.364754430037,22043.997244921873,20506.936650199284,23622.888242538404
2023-06-30,20458.27705634293,23580.13701193307,22504.07983488836,25153.648289662266
2023-07-31,20950.31243392801,24352.908906583074,23088.094474030513,25977.005332541143
2023-08-31,20513.02561961954,23802.110509643793,22685.16472979014,25554.828645300066
2023-09-30,19450.329927625888,22828.56848046132,21946.610308308533,24342.647725086666
2023-10-31,18774.129049433184,22241.000693655962,21125.78731858297,23814.20389013924
2023-11-30,20347.616143743013,23871.374584419074,22755.70985252148,25989.480140439322
2023-12-31,21383.150302551094,24829.71479544972,23465.215571216773,27176.042703357947
2024-01-31,21688.30422373051,24752.56090215922,23829.83845426299,27608.856504031024
2024-02-29,22470.65025637672,25851.491832247346,24765.85849431334,29049.678887544058
2024-03-31,23123.031080002456,26977.301276101676,25579.492923254384,29999.661147069186
2024-04-30,22274.785398407388,26139.018539234123,24431.3814804591,28790.083477943477
2024-05-31,22861.528756158135,26975.871485674837,25399.35819146055,30246.274365811663
