,ML Signal Blend,Equal-Weight Sectors,6M Momentum Top 3,SPY Buy & Hold
2015,-0.0050618618393266646,-0.013047883483145228,-0.046996762757826493,0.012342672077436223
2016,0.1374192828415013,0.14400863931151764,0.1636353798474064,0.11997898869641821
2017,0.1650312882822318,0.19240437796292276,0.13006811278370134,0.21705434140466706
2018,-0.00016813664361414737,-0.06259065157733745,-0.03938584657059718,-0.04569007794172564
2019,0.1494554118113145,0.27765475606486456,0.20355919811868395,0.3122384078478122
2020,0.15630586511965716,0.10081182400764077,0.2614251378054635,0.18331615532790346
2021,0.14525604089099842,0.2956760810238541,0.19266768198619788,0.28728804858226775
2022,-0.008361868962759034,-0.05213357726588508,-0.007094081259974794,-0.18175380364360794
2023,0.0746558538695179,0.1389991060513387,0.08418429170728148,0.2617579498645448
2024,0.09063377319713317,0.15661589914238427,0.13766064787747778,0.24886454648491685
2025,0.16147455652286258,0.13448602698468992,0.04306041483652501,0.17719073744283098
2026,0.13690066067497453,0.09119638023232324,0.059262620295830626,0.0567553940227683
