ticker,mse,rmse,r2
XLB,1.0051864767074265e-06,0.001002589884602586,0.9996642633852257
XLE,8.07990047211919e-06,0.002842516573763325,0.9989312499896335
XLF,1.9414623502302337e-06,0.001393363681969009,0.9994122991524995
XLI,1.0021251303024717e-06,0.0010010620012279319,0.9996624671257797
XLK,9.005301529239999e-07,0.0009489626720393168,0.9997085792141147
XLP,5.432010693604118e-07,0.0007370217563684344,0.9995908234757649
XLU,1.0219624948530505e-06,0.0010109216066802858,0.999477655205843
XLV,7.220862596631257e-07,0.0008497565884787983,0.9995774882878116
XLY,1.6773538371127868e-06,0.0012951269579129247,0.9995223337578096
