,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
ma_ratio_XLB,0.008637917365970678,0.000818526161963664,0.0038419042338752474,0.0031267555641528552,0.012465724912457244,0.0055112172210667444,0.006146337912521803,0.004715331884895894,0.0031991857221603816
ma_ratio_XLE,0.021634383785964644,0.00931465860035857,0.002457137601813424,0.0051114557133795984,0.010912514307217265,0.0016706823484686367,0.006594964857046934,0.0015024622102014595,0.007210302413785094
ma_ratio_XLF,0.008627994785770289,0.0002468975264053519,0.0019327976222319875,0.0004136919582359453,0.0025442228771926623,0.004414391267835575,0.018779094108413743,0.006979489664696938,0.0019078993089221982
ma_ratio_XLI,0.004941175053963759,0.005329404090633337,0.0036799047093111145,6.121031036970232e-05,0.0067425398821274445,0.010673416588259694,0.007039636993306047,0.002743485763843125,0.0013243058973308186
ma_ratio_XLK,0.004035727680142057,0.010573001710134672,0.01815009357373959,0.009764287174665346,0.017346628319820038,0.013121889534288937,0.025951951960317864,0.03866164055297622,0.016576559766756066
ma_ratio_XLP,0.003900593564822923,0.00013998258148003985,0.03281428390692196,0.015333111355046228,0.0077756745649311294,0.0021161683797094855,0.013830284367665069,0.023075283581546167,0.009463506005526137
ma_ratio_XLU,0.00575332734162208,0.009994801103258903,0.020640867641255074,0.01207556053095401,0.016064007740117184,0.002440211558618338,0.0011788110896541067,0.02064954239086861,0.020082150010744006
ma_ratio_XLV,0.026438893407461264,0.024625528575309894,0.030556473164872994,0.030175391264202205,0.010495558161960307,0.037760467718643456,0.034883699953661494,0.010218571413298978,0.012819625908727445
ma_ratio_XLY,0.014818637454433759,0.007014811871186642,0.007655597920287493,0.009687817630007487,0.06322595774272358,0.020046860625545625,0.00837794398438642,0.01452296163950858,0.028407154517837225
mom12m_XLB,0.016679134239703155,0.01637657350762944,0.01378225447380077,0.03354960169897306,0.009656301237753065,0.004985901343483822,0.004590272493776104,0.01092035682030931,0.006618570314699943
mom12m_XLE,0.023239720324771493,0.01464310849205112,0.021668363757424775,0.017197407636629244,0.024540264298574206,0.002689764483411899,0.009706088901822006,0.010538292438303946,0.03752324705269113
mom12m_XLF,0.10026597693433686,0.16631457664893118,0.09789312602583168,0.10116666214557352,0.06064209305164954,0.12124766233216273,0.015104531992787263,0.051152639110441676,0.038734307773008674
mom12m_XLI,0.002634721945972385,0.017136818421509277,0.003733463711032592,0.002078467562938892,0.002181371349127168,0.004170223893365396,0.005027597511322783,0.0010325292183685547,0.0016976844626713766
mom12m_XLK,0.008317382437897466,0.0034393195768484836,0.016255052303893007,0.007479163837489466,0.0033475578932548483,0.015540132727327512,0.0011849835257175916,0.008122967173800235,0.0035268127369245104
mom12m_XLP,0.008597659684013973,0.009445143225506608,0.013372961801319371,0.009973805655226925,0.016300203547877572,0.0034875867384872353,0.009284213103683044,0.01588726648340346,0.03288329554609077
mom12m_XLU,0.02790880536093958,0.002036602742407354,0.012445739337262842,0.013702481160797163,0.014346511662613278,0.003702139081978983,0.01782683000139051,0.045283379503941804,0.008490087442976182
mom12m_XLV,0.014527154606350194,0.004477353786019741,0.03262050298703515,0.009272763204489066,0.0035077968557995953,0.019305924363498386,0.015785652834866996,0.03495160054722441,0.007673002248117626
mom12m_XLY,0.03026708091774174,0.010319695058374982,0.01567709852233979,0.004338071782577633,0.0018606921768154427,0.0329302485610718,0.021875448379179742,0.008428498897669945,0.0007910846826915105
mom1m_XLB,0.04212171713510705,0.00484392238668705,0.016919078230767156,0.005147310417621859,0.016756024223372894,0.005003017834105843,0.001950891052078864,0.028715206413461803,0.03228059150212974
mom1m_XLE,0.026170463427413002,0.1205559911827099,0.11583168015395007,0.09924636856825714,0.0031321479208950664,0.02540576929788573,0.0499492275469134,0.03090687794497445,0.0333407791179114
mom1m_XLF,0.024656489963251118,0.011417884949181244,0.013008812998650575,0.013231412567436943,0.004615465215943253,0.005706173597231419,0.03943152381771695,0.02332886993536432,0.0012478937156120307
