Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2015-01-02,39.578346252441406,52.736534118652344,16.526105880737305,46.83418273925781,36.375244140625,36.857234954833984,33.96224594116211,58.0754280090332,63.77340316772461
2015-01-05,38.56956481933594,50.5549430847168,16.178604125976562,45.740211486816406,35.819969177246094,36.598045349121094,33.547019958496094,57.77925109863281,62.55367660522461
2015-01-06,38.227882385253906,49.812278747558594,15.931349754333496,45.176639556884766,35.38808822631836,36.55230712890625,33.56849670410156,57.584632873535156,61.93044662475586
2015-01-07,38.65904998779297,49.918357849121094,16.098419189453125,45.51644515991211,35.687767028808594,37.1773796081543,33.89781188964844,58.93856430053711,62.9098014831543
2015-01-08,39.578346252441406,51.03899383544922,16.338993072509766,46.4280891418457,36.47220993041992,37.741485595703125,34.13406753540039,59.94553756713867,63.85353088378906
2015-01-09,39.37496566772461,50.634498596191406,16.118457794189453,45.93082809448242,36.35763168334961,37.43657302856445,33.91928482055664,59.41245651245117,63.11459732055664
2015-01-12,39.28547286987305,49.17567825317383,15.98481559753418,45.61589813232422,35.93453598022461,37.32221984863281,33.84053421020508,59.437808990478516,62.77627182006836
2015-01-13,38.84615707397461,48.784454345703125,15.931349754333496,45.52473068237305,35.908111572265625,37.314598083496094,33.93359375,59.17551040649414,62.77627182006836
2015-01-14,38.39057922363281,48.936981201171875,15.704143524169922,45.276092529296875,35.705387115478516,37.20026397705078,34.22712326049805,59.08241271972656,62.019500732421875
2015-01-15,38.31736373901367,48.313629150390625,15.510348320007324,45.06061553955078,35.24706268310547,37.261234283447266,34.49916458129883,58.44778823852539,61.21817398071289
2015-01-16,38.92750549316406,49.88520812988281,15.69745922088623,45.358970642089844,35.590797424316406,37.55854415893555,34.80699920654297,59.5478515625,62.02839660644531
2015-01-20,38.99259567260742,49.94486999511719,15.630634307861328,45.682186126708984,35.89048385620117,37.711002349853516,34.892906188964844,59.5478515625,61.67227554321289
2015-01-21,39.37496566772461,50.95942687988281,15.670734405517578,46.05514144897461,35.95218276977539,37.893959045410156,35.229373931884766,59.66631317138672,62.07289505004883
2015-01-22,39.8712158203125,51.198143005371094,16.058317184448242,46.792755126953125,36.54270553588867,38.27509689331055,35.079044342041016,60.37712860107422,63.23920822143555
2015-01-23,39.25293731689453,50.83343505859375,15.884571075439453,46.40324020385742,36.53389358520508,37.84820556640625,35.179264068603516,60.03017044067383,63.15018844604492
2015-01-26,39.42378234863281,51.56285095214844,15.964768409729004,46.46124267578125,36.38405990600586,37.84820556640625,35.15778732299805,60.34326171875,63.47959899902344
2015-01-27,39.15530776977539,51.529693603515625,15.79101276397705,45.84794998168945,35.335201263427734,37.4136962890625,35.2078971862793,59.911705017089844,62.972137451171875
2015-01-28,38.447532653808594,49.5006103515625,15.503661155700684,45.450138092041016,35.27350616455078,36.979190826416016,34.907230377197266,59.048583984375,62.153045654296875
2015-01-29,38.95192337036133,49.666385650634766,15.630634307861328,45.97225570678711,35.608436584472656,37.276485443115234,35.37255859375,59.5478515625,62.99883270263672
2015-01-30,38.79734802246094,50.09739685058594,15.376691818237305,45.22635269165039,35.1677360534668,36.60566329956055,34.59221649169922,58.61701202392578,62.31330108642578
2015-02-02,39.14716339111328,51.62915802001953,15.623952865600586,45.897674560546875,35.52911376953125,37.0401725769043,34.74256134033203,58.94703674316406,62.87421798706055
2015-02-03,40.00950622558594,53.04157257080078,15.884571075439453,46.6435661315918,35.93453598022461,37.367958068847656,34.87141418457031,59.34474563598633,64.20966339111328
2015-02-04,39.749183654785156,52.16627502441406,15.844478607177734,46.28720474243164,36.00504684448242,37.383209228515625,34.449039459228516,58.60007858276367,64.63701629638672
2015-02-05,40.70915222167969,52.915565490722656,16.004858016967773,46.68500518798828,36.33998489379883,37.57378387451172,34.7640380859375,59.59014892578125,65.03766632080078
2015-02-06,40.611534118652344,52.92884063720703,16.1318302154541,46.57727813720703,36.22541809082031,37.40608215332031,33.332252502441406,59.048583984375,64.93972778320312
2015-02-09,40.56270980834961,52.98189163208008,16.051633834838867,46.45295333862305,36.17253875732422,37.12403106689453,33.038726806640625,58.35468673706055,64.6904525756836
2015-02-10,40.86372375488281,52.95536804199219,16.178604125976562,46.70988082885742,36.710174560546875,37.55854415893555,33.71882629394531,59.33628463745117,65.48284149169922
2015-02-11,40.79864501953125,52.58403396606445,16.178604125976562,46.7264518737793,36.851200103759766,37.73387908935547,32.988609313964844,59.39551544189453,65.50062561035156
2015-02-12,41.498268127441406,53.273643493652344,16.338993072509766,47.165714263916016,37.35359191894531,37.90918731689453,32.83827590942383,59.607059478759766,66.27517700195312
2015-02-13,41.84810256958008,54.40092468261719,16.32562255859375,47.381187438964844,37.59157943725586,37.73387908935547,32.33714294433594,59.84400939941406,66.67582702636719
2015-02-17,41.896907806396484,54.56669998168945,16.379091262817383,47.44747543334961,37.60919952392578,37.741485595703125,32.308509826660156,60.275604248046875,66.52449035644531
2015-02-18,42.010799407958984,53.916866302490234,16.278846740722656,47.712711334228516,37.64446258544922,37.94730758666992,33.07452392578125,60.34326171875,66.4888916015625
2015-02-19,42.124698638916016,53.66488265991211,16.21202278137207,47.795570373535156,37.776668548583984,37.703369140625,32.702247619628906,60.4448127746582,66.69367218017578
2015-02-20,42.246726989746094,53.40625762939453,16.332305908203125,48.20169448852539,37.97057342529297,37.810089111328125,32.70942306518555,61.079505920410156,67.16551208496094
2015-02-23,42.197906494140625,53.18746566772461,16.29220962524414,47.9944953918457,37.99702835083008,37.916812896728516,32.931331634521484,61.358726501464844,67.10320281982422
