,weight
XLB,0.14412206868229507
XLE,0.3111389933030549
XLF,0.22739868032329677
XLI,0.06681062767962816
XLK,0.17140478488915256
XLP,0.0
XLU,0.020405123600397663
XLV,0.0
XLY,0.0587197215221748
