,weight
XLB,0.1335017140616257
XLE,0.31936639488423774
XLF,0.23102992541303305
XLI,0.0885057299085382
XLK,0.19384925972629838
XLP,0.0
XLU,0.01433539119401356
XLV,0.0
XLY,0.01941158481225333
