,weight
XLB,0.0
XLE,0.0
XLF,0.30661303789048044
XLI,0.2908076436544001
XLK,0.18745027167123565
XLP,0.17709964909270784
XLU,0.0
XLV,0.017724862234339698
XLY,0.02030453545683644
