,0
Total Return,120.12289060505215
Annualized Return,0.649605621819739
Annualized Volatility,0.1672660913102511
Sharpe Ratio,3.883665940485375
Max Drawdown,-0.22570359143992846
Win Rate,0.9304347826086956
