ticker,mse,rmse,r2
XLB,1.068926843151256e-06,0.0010338891832064286,0.9996429736715143
XLE,9.04596518427483e-06,0.0030076511074715482,0.9988034661654055
XLF,1.3130708119208918e-06,0.0011458930194049057,0.9996025201242178
XLI,1.4071404355456437e-06,0.0011862295037410103,0.9995260514220763
XLK,8.238332925501482e-07,0.0009076526276886705,0.9997333992535643
XLP,4.7172555570068913e-07,0.0006868227978894477,0.9996446636718517
XLU,1.193264186594427e-06,0.0010923663243593822,0.9993900991302201
XLV,7.975196587432435e-07,0.0008930395616898747,0.9995333496189608
XLY,1.4873448022940606e-06,0.0012195674652490777,0.9995764428011586
