ticker,mse,rmse,r2
XLB,8.203068856797727e-07,0.0009057079472323143,0.9997260137699975
XLE,7.003128474635301e-06,0.002646342471154348,0.9990736781744731
XLF,1.204916629985942e-06,0.0010976869453473254,0.999635259603474
XLI,1.2976075414449642e-06,0.0011391257794664135,0.9995629439391496
XLK,8.404579224862835e-07,0.000916764922150866,0.9997280193173408
XLP,4.382221947237867e-07,0.000661983530553281,0.9996699010643815
XLU,9.571695382627284e-07,0.0009783504169073207,0.9995107721428779
XLV,3.3488340490946044e-07,0.0005786911135566714,0.9998040505526024
XLY,2.649317791537837e-06,0.0016276725074589903,0.9992455430534815
