Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2015-01-02,39.57835006713867,52.73652267456055,16.526100158691406,46.834190368652344,36.375247955322266,36.85721969604492,33.96223831176758,58.075439453125,63.773399353027344
2015-01-05,38.569557189941406,50.554927825927734,16.17860984802246,45.740196228027344,35.81997299194336,36.59803771972656,33.54701614379883,57.77926254272461,62.5536994934082
2015-01-06,38.22788619995117,49.8122673034668,15.931354522705078,45.1766471862793,35.38809585571289,36.55229949951172,33.56850051879883,57.584632873535156,61.930450439453125
2015-01-07,38.659061431884766,49.91836929321289,16.098419189453125,45.51643371582031,35.687747955322266,37.17738342285156,33.89780807495117,58.93857192993164,62.90980911254883
2015-01-08,39.57835006713867,51.039005279541016,16.338991165161133,46.4280891418457,36.47221374511719,37.741493225097656,34.1340446472168,59.945552825927734,63.85353088378906
2015-01-09,39.37496566772461,50.63450241088867,16.118465423583984,45.93083572387695,36.35762023925781,37.436580657958984,33.919288635253906,59.41244888305664,63.11457443237305
2015-01-12,39.285465240478516,49.17569351196289,15.98481273651123,45.61589050292969,35.93454360961914,37.322227478027344,33.84054183959961,59.437828063964844,62.77626037597656
2015-01-13,38.84616470336914,48.78445816040039,15.931354522705078,45.52473449707031,35.908111572265625,37.31460952758789,33.9336051940918,59.175506591796875,62.77626037597656
2015-01-14,38.39059829711914,48.936954498291016,15.704140663146973,45.27609634399414,35.70537567138672,37.20024490356445,34.22711944580078,59.08241271972656,62.019508361816406
2015-01-15,38.317359924316406,48.31365203857422,15.510347366333008,45.06060791015625,35.247066497802734,37.2612419128418,34.49916076660156,58.447757720947266,61.21821975708008
2015-01-16,38.927520751953125,49.88521194458008,15.697456359863281,45.35896301269531,35.590816497802734,37.55854034423828,34.80699920654297,59.5478401184082,62.02836608886719
2015-01-20,38.99259948730469,49.94487762451172,15.630634307861328,45.682186126708984,35.890480041503906,37.71100997924805,34.892921447753906,59.5478401184082,61.67226028442383
2015-01-21,39.37496566772461,50.95943069458008,15.67072868347168,46.05514907836914,35.952171325683594,37.89394760131836,35.229373931884766,59.666297912597656,62.072914123535156
2015-01-22,39.871219635009766,51.19813919067383,16.05831527709961,46.792755126953125,36.54270935058594,38.27508544921875,35.07904052734375,60.37712478637695,63.23925018310547
2015-01-23,39.252933502197266,50.833438873291016,15.884572982788086,46.403236389160156,36.53390121459961,37.84821319580078,35.17926025390625,60.030174255371094,63.15018081665039
2015-01-26,39.423770904541016,51.5628547668457,15.964764595031738,46.461238861083984,36.384071350097656,37.84821319580078,35.157798767089844,60.34328079223633,63.479591369628906
2015-01-27,39.15531539916992,51.529701232910156,15.791013717651367,45.84794616699219,35.335201263427734,37.4137077331543,35.20790481567383,59.91170883178711,62.97212600708008
2015-01-28,38.447532653808594,49.5005989074707,15.503667831420898,45.450138092041016,35.273502349853516,36.979190826416016,34.9072151184082,59.04857635498047,62.15303421020508
2015-01-29,38.95191192626953,49.66637420654297,15.630634307861328,45.97227478027344,35.60844421386719,37.2764778137207,35.37255859375,59.5478401184082,62.99882507324219
2015-01-30,38.79734802246094,50.0974006652832,15.376694679260254,45.226356506347656,35.1677360534668,36.60565948486328,34.59223937988281,58.61700439453125,62.313270568847656
2015-02-02,39.14717102050781,51.6291618347168,15.623950958251953,45.897682189941406,35.52909469604492,37.04016876220703,34.7425651550293,58.94702911376953,62.87417984008789
2015-02-03,40.00950622558594,53.041561126708984,15.884572982788086,46.643577575683594,35.93454360961914,37.367958068847656,34.87142562866211,59.34474563598633,64.20964050292969
2015-02-04,39.74917984008789,52.166290283203125,15.844474792480469,46.287200927734375,36.00506591796875,37.383216857910156,34.44904708862305,58.60007858276367,64.63702392578125
2015-02-05,40.70914840698242,52.91557693481445,16.004858016967773,46.68501663208008,36.33999252319336,37.573787689208984,34.7640380859375,59.59012985229492,65.03765106201172
2015-02-06,40.61152648925781,52.92885208129883,16.13182830810547,46.57728576660156,36.22541046142578,37.40607452392578,33.33224868774414,59.04857635498047,64.93973541259766
2015-02-09,40.56271743774414,52.98188018798828,16.051639556884766,46.45296096801758,36.17252731323242,37.12403869628906,33.03872299194336,58.354671478271484,64.69043731689453
2015-02-10,40.86372375488281,52.955379486083984,16.17860984802246,46.709896087646484,36.710182189941406,37.55854034423828,33.71882629394531,59.33626174926758,65.48279571533203
2015-02-11,40.798641204833984,52.58403396606445,16.17860984802246,46.726463317871094,36.851200103759766,37.733856201171875,32.988616943359375,59.39552307128906,65.5006103515625
2015-02-12,41.49827575683594,53.27367401123047,16.338991165161133,47.165706634521484,37.35359191894531,37.9091911315918,32.83827209472656,59.60707092285156,66.27522277832031
2015-02-13,41.84810256958008,54.40092468261719,16.32562255859375,47.38119888305664,37.59157180786133,37.733856201171875,32.33714294433594,59.8439826965332,66.67585754394531
2015-02-17,41.896915435791016,54.566715240478516,16.37908935546875,47.4474983215332,37.609214782714844,37.741493225097656,32.30851364135742,60.275596618652344,66.52446746826172
2015-02-18,42.010799407958984,53.91686248779297,16.278846740722656,47.71269607543945,37.64445877075195,37.94731521606445,33.07453155517578,60.34328079223633,66.4888916015625
2015-02-19,42.124691009521484,53.664894104003906,16.212026596069336,47.79557418823242,37.77666473388672,37.703372955322266,32.702266693115234,60.44481658935547,66.69364166259766
2015-02-20,42.24673080444336,53.406272888183594,16.332305908203125,48.201690673828125,37.970577239990234,37.810096740722656,32.709407806396484,61.0794792175293,67.16552734375
